tradeDate,ticker,scenario,pandar_approval_scope,pandar_direct_portion,project_derived_portion,first_action,source_dataset,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,ivRank1y,rr25_pct252,callskew_pct252,putskew_pct252,call_wing_10_pct252,call_kink_pct252,avgOptVolu20d,oi,dollar_stock_volume,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,long_otm_pct,lower_otm_pct,hiro_followup_available_sessions,hiro_followup_first_session,hiro_followup_last_session
2026-08-21,NEM,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.29365079365079,131.99,12.61945392491468,0.0,54.48,2.380952380952381,94.44444444444444,,96.42857142857144,73.01587301587301,28022.55,608188,943858869.8,False,no 2-6 delta call in 5-19 DTE,,,,,,,,,,,,,,,,,,,,,,9,2026-08-24,2026-09-04
2026-08-24,CPNG,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.829365079365076,16.41,4.190476190476189,-2.7843601895734538,49.98,8.73015873015873,72.22222222222223,,94.44444444444444,87.6984126984127,24800.2,620083,294690054.05,False,far-call bid below 0.20,,2026-08-28,5.0,STO,18.0,0.04042779858509,0.0,0.07,376.0,66.0,BTO,17.5,0.03,0.13,545.0,52.0,0.5,0.0,0.1,,,6,2026-08-25,2026-09-02
2026-08-24,JNJ,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.21428571428571,272.8,3.991156177333899,-0.4960606944849788,60.75,4.365079365079365,86.9047619047619,,93.25396825396824,77.77777777777777,30361.7,369497,1877758316.16,False,far-call bid below 0.20; far-call quote wider than 0.10; far-call OI below 25,,2026-08-28,5.0,STO,287.5,0.0320334377280845,0.1,0.25,19.0,8.0,BTO,285.0,0.11,0.25,270.0,146.0,2.5,0.1,0.1,,,6,2026-08-25,2026-09-02
2026-08-24,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.38492063492064,122.28,25.03067484662578,0.0,54.13,1.1904761904761905,99.6031746031746,,94.84126984126983,98.015873015873,437998.85,2595783,2423662877.25,True,,,2026-08-28,5.0,STO,155.0,0.0354467656584631,0.22,0.27,2940.0,888.0,BTO,152.5,0.25,0.3,0.0,210.0,2.5,0.22,0.12,,,7,2026-08-25,2026-09-04
2026-08-24,AA,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,29.887301587301582,48.97,-5.408537763183318,-8.72320596458528,26.7,24.20634920634921,60.714285714285715,17.857142857142858,59.12698412698413,67.85714285714286,15247.85,244762,266709503.95,False,one leg lacks a two-sided put quote; combined put quote widths exceed 0.10,put,2026-09-18,26.0,BTO,33.0,0.9977627258370032,0.0,0.05,583.0,0.0,STO,28.0,0.0,0.56,1127.0,0.0,5.0,0.05,,32.61180314478251,,5,2026-08-27,2026-09-04
2026-08-24,AAL,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,39.581428571428575,13.66,-5.79310344827586,-18.203592814371248,23.99,3.1746031746031744,92.06349206349206,3.968253968253968,56.34920634920635,31.349206349206348,61194.6,1854864,798637678.08,False,one leg lacks a two-sided put quote; one put leg has OI below 25,put,2026-10-16,54.0,BTO,10.0,0.9596414294236476,0.05,0.07,129.0,17.0,STO,7.0,0.0,0.05,0.0,0.0,3.0,0.07,,26.79355783308931,,5,2026-08-27,2026-09-04
2026-08-24,AAP,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,52.69682539682539,43.31,-23.250044302675875,-27.35659174773565,7.7,13.095238095238097,68.25396825396825,9.92063492063492,37.301587301587304,46.03174603174603,8977.85,83246,95781836.48,False,one leg lacks a two-sided put quote; one put leg has OI below 25,put,2026-09-18,26.0,BTO,27.5,0.997224910771238,0.0,0.05,13.0,0.0,STO,22.5,0.0,0.05,74.0,1.0,5.0,0.05,,36.5042715308243,,5,2026-08-27,2026-09-04
2026-08-24,ABNB,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,25.207619047619048,190.28,5.8404716876182095,0.0,28.84,30.15873015873016,63.888888888888886,24.603174603174605,42.46031746031746,55.95238095238095,21230.35,224443,983813665.7,False,spread debit outside 0.00-0.10; combined put quote widths exceed 0.10,put,2026-10-16,54.0,BTO,135.0,0.9907229663383648,0.08,0.15,229.0,14.0,STO,130.0,0.04,0.24,228.0,0.0,5.0,0.1099999999999999,,29.051923481185625,,7,2026-08-27,2026-09-04
2026-08-24,AFRM,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,44.42380952380952,76.91,2.6287696824125906,-2.805509920384175,15.1,13.88888888888889,80.55555555555556,13.492063492063492,71.82539682539682,92.46031746031746,11135.7,202860,221666072.77,False,one leg lacks a two-sided put quote; combined put quote widths exceed 0.10,put,2026-09-18,26.0,BTO,45.0,0.995875797384452,0.03,0.08,216.0,13.0,STO,40.0,0.0,0.37,298.0,0.0,5.0,0.08,,41.49005330906254,,5,2026-08-27,2026-09-04
2026-08-24,AG,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,30.159999999999997,20.84,5.840528186896887,-1.4657210401891163,29.84,22.22222222222222,56.74603174603175,2.7777777777777777,23.41269841269841,60.31746031746032,45916.85,916403,234167521.41,False,one leg lacks a two-sided put quote,put,2026-09-18,26.0,BTO,13.0,0.9943913899446698,0.0,0.05,215.0,4.0,STO,10.0,0.0,0.02,332.0,0.0,3.0,0.05,,37.61996161228407,,7,2026-08-27,2026-09-04
2026-08-24,ALAB,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,23.572380952380954,277.73,-14.3495960032073,-23.622913400984512,32.38,28.174603174603178,59.12698412698413,17.063492063492063,60.714285714285715,75.7936507936508,23982.3,218973,1342940502.96,False,spread debit outside 0.00-0.10; combined put quote widths exceed 0.10,put,2026-09-18,26.0,BTO,160.0,0.9940560138731726,0.03,0.45,127.0,0.0,STO,155.0,0.02,0.55,708.0,0.0,5.0,0.43,,42.39009109566846,,7,2026-08-27,2026-09-04
2026-08-24,ALB,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,51.91047619047619,141.73,5.508821558847599,-0.9089002307208328,9.28,12.301587301587302,69.84126984126983,6.746031746031746,47.22222222222222,65.47619047619048,5712.45,190325,330196980.0,False,combined put quote widths exceed 0.10,put,2026-09-18,26.0,BTO,105.0,0.9878943442593724,0.1,0.13,442.0,32.0,STO,100.0,0.05,0.13,801.0,5.0,5.0,0.08,,25.915473082621876,,5,2026-08-27,2026-09-04
2026-08-24,AMD,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,21.202539682539683,455.92,-10.051887071635724,-13.584412138213386,33.48,33.333333333333336,50.0,18.253968253968253,45.63492063492063,40.87301587301587,515261.35,3008699,12470313549.0,False,no roughly $5-wide put spread 25-45% OTM in current/next monthly,,,,,,,,,,,,,,,,,,,,,,5,2026-08-27,2026-09-04
2026-08-24,APA,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,38.976190476190474,42.89,3.4241620448516974,-3.487848784878478,21.5,15.873015873015872,52.77777777777778,6.746031746031746,10.317460317460318,61.904761904761905,8005.1,210962,257945826.58,False,spread debit outside 0.00-0.10; one leg lacks a two-sided put quote; combined put quote widths exceed 0.10,put,2026-10-16,54.0,BTO,27.5,0.993301567084442,0.0,0.12,113.0,0.0,STO,22.5,0.0,0.48,184.0,0.0,5.0,0.12,,35.88249009093028,,7,2026-08-27,2026-09-04
2026-08-24,APO,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,30.238730158730156,132.49,-2.3079191859607717,-7.884307863449913,29.92,9.92063492063492,88.4920634920635,14.285714285714286,81.74603174603175,81.34920634920636,6634.75,275492,526036103.31,False,one leg lacks a two-sided put quote,put,2026-09-18,26.0,BTO,90.0,0.9998548855362376,0.0,0.05,9312.0,0.0,STO,85.0,0.0,0.05,458.0,0.0,5.0,0.05,,32.070344931692965,,5,2026-08-27,2026-09-04
2026-08-24,APP,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,49.95174603174603,299.39,-3.537713052163549,-28.498758119984725,11.08,8.73015873015873,94.04761904761904,11.11111111111111,79.76190476190476,45.23809523809524,44619.45,336686,2196027297.66,False,spread debit outside 0.00-0.10; one leg lacks a two-sided put quote; combined put quote widths exceed 0.10; one put leg has OI below 25,put,2026-09-18,26.0,BTO,185.0,0.999506224436594,0.0,0.2,123.0,0.0,STO,180.0,0.0,1.2,3.0,0.0,5.0,0.2,,38.207688967567385,,5,2026-08-27,2026-09-04
2026-08-24,AVGO,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,45.64698412698412,359.53,-8.57469802924349,-15.521981249559436,18.48,2.380952380952381,97.61904761904762,1.984126984126984,82.53968253968254,62.301587301587304,225702.35,2066713,7231562623.25,False,combined put quote widths exceed 0.10,put,2026-10-16,54.0,BTO,200.0,0.9970543208532588,0.05,0.12,609.0,32.0,STO,195.0,0.04,0.2,232.0,1.0,5.0,0.0799999999999999,,44.37181876338553,,5,2026-08-27,2026-09-04
2026-08-24,AXP,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,45.30412698412698,337.74,0.2582598628551036,-3.337149398969652,16.68,7.142857142857143,89.68253968253968,7.936507936507937,81.34920634920636,69.84126984126983,12943.15,232537,932715168.0,False,spread debit outside 0.00-0.10; one leg lacks a two-sided put quote; combined put quote widths exceed 0.10; one put leg has OI below 25,put,2026-10-16,54.0,BTO,190.0,0.9973952532238228,0.0,0.9,7.0,0.0,STO,185.0,0.0,1.9,11.0,0.0,5.0,0.9,,43.743708177888315,,5,2026-08-27,2026-09-04
2026-08-24,BAC,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,38.30063492063492,62.42,-2.4687499999999973,-3.7767843379065913,21.62,16.26984126984127,59.12698412698413,9.126984126984128,16.666666666666668,55.95238095238095,108655.3,2251718,1718943053.21,False,no roughly $5-wide put spread 25-45% OTM in current/next monthly,,,,,,,,,,,,,,,,,,,,,,5,2026-08-27,2026-09-04
2026-08-24,BE,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,48.3968253968254,203.59,-13.207144988702725,-14.60509206828572,12.0,13.492063492063492,84.52380952380952,9.523809523809524,79.36507936507937,73.41269841269842,136428.6,842368,3354753900.75,False,spread debit outside 0.00-0.10; combined put quote widths exceed 0.10,put,2026-09-18,26.0,BTO,130.0,0.9749212134733268,0.4,0.54,1927.0,143.0,STO,125.0,0.34,0.53,666.0,30.0,5.0,0.2,,36.14617613831721,,5,2026-08-27,2026-09-04
2026-08-24,BILI,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,37.27428571428572,16.53,-4.17391304347825,-14.39668565510097,23.44,12.301587301587302,73.80952380952381,9.126984126984128,60.31746031746032,94.04761904761904,5358.65,171613,37595616.739999995,False,no roughly $5-wide put spread 25-45% OTM in current/next monthly,,,,,,,,,,,,,,,,,,,,,,7,2026-08-27,2026-09-04
